"project","filename","geometry"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90034796 25.67773871, -80.80069627 25.67763663, -80.80054571 25.76793814, -80.90027267 25.76804063, -80.90034796 25.67773871))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y279_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80158462 25.13580420, -80.70237782 25.13563815, -80.70215840 25.22594564, -80.80143834 25.22611237, -80.80158462 25.13580420))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y280_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80143834 25.22611237, -80.70215840 25.22594564, -80.70193791 25.31625204, -80.80129135 25.31641944, -80.80143834 25.22611237))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y281_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80129135 25.31641944, -80.70193791 25.31625204, -80.70171637 25.40655732, -80.80114365 25.40672541, -80.80129135 25.31641944))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y282_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80114365 25.40672541, -80.70171637 25.40655732, -80.70149375 25.49686149, -80.80099524 25.49703026, -80.80114365 25.40672541))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80099524 25.49703026, -80.70149375 25.49686149, -80.70127006 25.58716455, -80.80084611 25.58733401, -80.80099524 25.49703026))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80084611 25.58733401, -80.70127006 25.58716455, -80.70104530 25.67746650, -80.80069627 25.67763663, -80.80084611 25.58733401))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x52y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.80069627 25.67763663, -80.70104530 25.67746650, -80.70081946 25.76776732, -80.80054571 25.76793814, -80.80069627 25.67763663))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y279_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70237782 25.13563815, -80.60317207 25.13540568, -80.60287951 25.22571223, -80.70215840 25.22594564, -80.70237782 25.13563815))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y280_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70215840 25.22594564, -80.60287951 25.22571223, -80.60258554 25.31601767, -80.70193791 25.31625204, -80.70215840 25.22594564))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y281_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70193791 25.31625204, -80.60258554 25.31601767, -80.60229015 25.40632200, -80.70171637 25.40655732, -80.70193791 25.31625204))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y282_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70171637 25.40655732, -80.60229015 25.40632200, -80.60199333 25.49662522, -80.70149375 25.49686149, -80.70171637 25.40655732))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70149375 25.49686149, -80.60199333 25.49662522, -80.60169509 25.58692732, -80.70127006 25.58716455, -80.70149375 25.49686149))"
